iter	Passed	Remaining
0	56	56611
1	56	28425
2	57	19035
3	57	14329
4	57	11506
5	58	9623
6	58	8277
7	58	7272
8	58	6487
9	59	5856
10	59	5342
11	59	4914
12	59	4552
13	60	4242
14	60	3974
15	60	3736
16	61	3529
17	61	3344
18	61	3178
19	61	3030
20	62	2918
21	62	2795
22	63	2682
23	63	2578
24	63	2482
25	63	2394
26	64	2311
27	64	2235
28	64	2163
29	64	2098
30	65	2036
31	65	1978
32	65	1923
33	65	1871
34	66	1824
35	66	1778
36	66	1735
37	66	1694
38	67	1655
39	67	1619
40	67	1584
41	67	1550
42	68	1519
43	68	1488
44	68	1459
45	69	1431
46	69	1405
47	69	1379
48	69	1355
49	70	1331
50	70	1308
51	70	1287
52	70	1266
53	71	1245
54	71	1225
55	71	1207
56	71	1189
57	72	1172
58	72	1156
59	72	1140
60	73	1124
61	73	1109
62	73	1094
63	73	1081
64	74	1069
65	74	1056
66	74	1042
67	74	1027
68	75	1015
69	75	1003
70	75	991
71	76	979
72	76	968
73	76	957
74	76	946
75	77	936
76	77	927
77	77	918
78	77	909
79	78	900
80	78	890
81	78	882
82	79	873
83	79	864
84	79	855
85	79	848
86	79	839
87	80	831
88	80	824
89	80	817
90	81	810
91	81	803
92	81	796
93	81	789
94	82	782
95	82	776
96	82	770
97	82	763
98	83	757
99	83	750
100	83	744
101	83	737
102	84	732
103	84	731
104	85	726
105	85	721
106	85	715
107	86	712
108	86	707
109	86	703
110	87	698
111	87	694
112	87	689
113	88	684
114	88	680
115	88	674
116	88	670
117	89	665
118	89	660
119	89	657
120	89	653
121	90	649
122	90	643
123	90	639
124	90	635
125	91	631
126	91	627
127	91	623
128	91	619
129	91	615
130	92	611
131	92	608
132	92	604
133	93	601
134	93	598
135	93	595
136	94	592
137	94	589
138	94	586
139	94	582
140	95	579
141	95	576
142	95	574
143	96	571
144	96	568
145	96	565
146	96	562
147	97	560
148	97	557
149	97	554
150	98	551
151	98	549
152	98	546
153	98	543
154	99	540
155	99	538
156	99	535
157	100	533
158	100	530
159	100	527
160	100	525
161	101	522
162	101	520
163	101	517
164	101	515
165	102	512
166	102	510
167	102	508
168	102	505
169	103	503
170	103	501
171	103	498
172	103	496
173	104	494
174	104	492
175	104	490
176	104	487
177	105	485
178	105	483
179	105	481
180	105	478
181	106	477
182	106	475
183	106	473
184	107	471
185	107	469
186	107	467
187	107	465
188	108	464
189	108	462
190	108	460
191	109	458
192	109	456
193	109	455
194	109	453
195	110	451
196	110	449
197	110	448
198	111	446
199	111	445
200	111	443
201	111	441
202	112	440
203	112	438
204	113	439
205	113	437
206	114	437
207	114	435
208	114	434
209	115	432
210	115	430
211	115	429
212	115	427
213	115	426
214	116	424
215	116	422
216	116	421
217	116	419
218	117	418
219	117	416
220	117	415
221	117	413
222	118	411
223	118	410
224	118	409
225	119	407
226	119	406
227	119	404
228	119	403
229	120	401
230	120	400
231	120	399
232	120	397
233	121	396
234	121	394
235	121	393
236	122	393
237	122	392
238	122	390
239	123	389
240	123	388
241	123	386
242	123	385
243	124	384
244	124	383
245	124	381
246	124	380
247	125	379
248	125	379
249	126	378
250	126	378
251	127	377
252	127	375
253	127	374
254	127	373
255	128	372
256	128	371
257	128	370
258	128	369
259	129	367
260	129	366
261	129	365
262	130	364
263	130	363
264	130	362
265	130	360
266	131	359
267	131	358
268	131	357
269	131	356
270	132	355
271	132	354
272	132	353
273	132	352
274	133	350
275	133	349
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	136	339
286	136	338
287	136	337
288	136	336
289	137	335
290	137	334
291	137	333
292	137	332
293	138	331
294	138	330
295	138	329
296	138	328
297	139	328
298	139	327
299	139	326
300	140	325
301	140	325
302	141	325
303	141	324
304	142	324
305	142	323
306	142	322
307	143	321
308	143	320
309	144	320
310	144	319
311	144	318
312	144	318
313	145	317
314	145	316
315	145	315
316	146	315
317	146	314
318	146	313
319	146	312
320	147	311
321	147	310
322	147	309
323	148	308
324	148	308
325	148	307
326	148	306
327	149	305
328	149	304
329	149	303
330	149	302
331	150	302
332	150	301
333	150	300
334	151	299
335	151	299
336	151	298
337	151	297
338	152	296
339	152	295
340	152	295
341	152	294
342	153	293
343	153	292
344	153	292
345	154	291
346	154	290
347	154	289
348	154	288
349	155	288
350	155	287
351	155	286
352	156	285
353	156	285
354	156	284
355	156	283
356	157	282
357	157	282
358	157	281
359	157	280
360	158	279
361	158	279
362	158	278
363	158	277
364	159	276
365	159	276
366	159	275
367	160	274
368	160	274
369	160	273
370	160	272
371	161	272
372	161	271
373	161	270
374	162	270
375	162	269
376	162	268
377	162	268
378	163	267
379	163	266
380	163	266
381	164	265
382	164	264
383	164	264
384	164	263
385	165	262
386	165	261
387	165	261
388	165	260
389	166	259
390	166	258
391	166	258
392	166	257
393	167	256
394	167	256
395	167	255
396	167	254
397	168	254
398	168	253
399	168	252
400	168	252
401	169	251
402	169	250
403	169	250
404	169	249
405	170	248
406	170	248
407	170	247
408	170	246
409	171	246
410	171	245
411	171	244
412	171	244
413	172	243
414	172	242
415	172	242
416	172	241
417	173	240
418	173	240
419	173	239
420	173	239
421	174	238
422	174	237
423	174	237
424	174	236
425	174	235
426	175	235
427	175	234
428	176	234
429	176	233
430	176	233
431	176	232
432	176	231
433	177	231
434	177	230
435	177	229
436	177	229
437	178	228
438	178	228
439	178	227
440	179	227
441	179	226
442	179	225
443	179	225
444	180	224
445	180	224
446	181	224
447	181	223
448	181	223
449	182	222
450	182	222
451	182	221
452	183	221
453	183	220
454	183	220
455	183	219
456	184	218
457	184	218
458	184	217
459	184	217
460	185	216
461	185	215
462	185	215
463	185	214
464	186	214
465	186	213
466	186	213
467	186	212
468	187	211
469	187	211
470	187	210
471	187	210
472	188	209
473	188	209
474	188	208
475	188	208
476	189	207
477	189	206
478	189	206
479	190	205
480	190	205
481	190	204
482	190	204
483	191	203
484	191	203
485	191	202
486	192	202
487	192	201
488	192	201
489	192	200
490	193	200
491	193	199
492	193	199
493	193	198
494	194	197
495	194	197
496	194	196
497	194	196
498	195	195
499	195	195
500	195	194
501	195	194
502	196	193
503	196	193
504	196	192
505	196	192
506	197	191
507	197	191
508	197	190
509	197	190
510	198	189
511	198	189
512	198	188
513	199	188
514	199	187
515	199	187
516	199	186
517	200	186
518	200	185
519	200	185
520	200	184
521	201	184
522	201	183
523	201	183
524	201	182
525	202	182
526	202	181
527	202	181
528	202	180
529	203	180
530	203	179
531	203	179
532	203	178
533	204	178
534	204	177
535	204	177
536	204	176
537	205	176
538	205	175
539	205	175
540	205	174
541	206	174
542	206	173
543	206	173
544	206	172
545	207	172
546	207	171
547	207	171
548	207	170
549	208	170
550	208	169
551	208	169
552	208	168
553	209	168
554	209	167
555	209	167
556	209	166
557	210	166
558	210	165
559	210	165
560	210	165
561	211	164
562	211	164
563	211	163
564	211	163
565	212	162
566	212	162
567	212	161
568	212	161
569	213	160
570	213	160
571	213	159
572	213	159
573	213	158
574	214	158
575	214	157
576	214	157
577	214	156
578	215	156
579	215	156
580	215	155
581	215	155
582	216	154
583	216	154
584	216	153
585	216	153
586	217	152
587	217	152
588	217	151
589	218	151
590	218	151
591	218	150
592	218	150
593	219	149
594	219	149
595	219	148
596	219	148
597	220	147
598	220	147
599	220	147
600	220	146
601	221	146
602	221	145
603	221	145
604	221	144
605	222	144
606	222	143
607	222	143
608	222	143
609	223	142
610	223	142
611	223	141
612	223	141
613	224	140
614	224	140
615	224	139
616	224	139
617	225	139
618	225	138
619	225	138
620	225	137
621	226	137
622	226	136
623	226	136
624	226	136
625	227	135
626	227	135
627	227	134
628	227	134
629	228	134
630	228	133
631	228	133
632	229	132
633	229	132
634	229	132
635	230	131
636	230	131
637	230	130
638	231	130
639	231	130
640	231	129
641	231	129
642	232	129
643	232	128
644	232	128
645	233	127
646	233	127
647	233	126
648	234	126
649	234	126
650	234	125
651	234	125
652	235	124
653	235	124
654	235	124
655	235	123
656	236	123
657	236	122
658	236	122
659	236	122
660	237	121
661	237	121
662	237	120
663	237	120
664	238	119
665	238	119
666	238	119
667	238	118
668	239	118
669	239	117
670	239	117
671	239	117
672	240	116
673	240	116
674	240	115
675	240	115
676	241	115
677	241	114
678	241	114
679	241	113
680	242	113
681	242	112
682	242	112
683	242	112
684	243	111
685	243	111
686	243	110
687	243	110
688	243	110
689	244	109
690	244	109
691	244	108
692	244	108
693	245	108
694	245	107
695	245	107
696	245	106
697	246	106
698	246	106
699	246	105
700	246	105
701	246	104
702	247	104
703	247	104
704	247	103
705	247	103
706	248	102
707	248	102
708	248	101
709	248	101
710	248	101
711	249	100
712	249	100
713	249	100
714	249	99
715	250	99
716	250	98
717	250	98
718	250	98
719	251	97
720	251	97
721	251	96
722	252	96
723	252	96
724	252	95
725	252	95
726	253	95
727	253	94
728	253	94
729	253	93
730	254	93
731	254	93
732	254	92
733	254	92
734	255	91
735	255	91
736	255	91
737	255	90
738	255	90
739	256	90
740	256	89
741	256	89
742	256	88
743	257	88
744	257	88
745	257	87
746	257	87
747	257	86
748	258	86
749	258	86
750	258	85
751	259	85
752	259	85
753	259	84
754	259	84
755	260	83
756	260	83
757	261	83
758	261	83
759	261	82
760	262	82
761	262	81
762	262	81
763	262	81
764	263	80
765	263	80
766	263	80
767	263	79
768	264	79
769	264	79
770	264	78
771	265	78
772	265	77
773	265	77
774	266	77
775	266	77
776	267	76
777	267	76
778	267	75
779	268	75
780	268	75
781	268	74
782	269	74
783	269	74
784	269	73
785	270	73
786	270	73
787	271	73
788	272	72
789	272	72
790	273	72
791	273	71
792	273	71
793	274	71
794	274	70
795	274	70
796	275	70
797	275	69
798	276	69
799	276	69
800	276	68
801	277	68
802	277	68
803	277	67
804	278	67
805	278	67
806	279	66
807	279	66
808	279	65
809	279	65
810	280	65
811	280	64
812	280	64
813	281	64
814	281	63
815	281	63
816	282	63
817	282	62
818	283	62
819	283	62
820	283	61
821	284	61
822	284	61
823	284	60
824	285	60
825	285	60
826	285	59
827	285	59
828	286	59
829	286	58
830	286	58
831	287	57
832	287	57
833	287	57
834	288	56
835	288	56
836	288	56
837	289	55
838	289	55
839	289	55
840	289	54
841	290	54
842	290	54
843	291	53
844	291	53
845	291	53
846	291	52
847	292	52
848	292	52
849	292	51
850	293	51
851	293	51
852	294	50
853	294	50
854	294	49
855	294	49
856	295	49
857	295	48
858	295	48
859	296	48
860	296	47
861	296	47
862	297	47
863	297	46
864	297	46
865	298	46
866	298	45
867	298	45
868	298	45
869	299	44
870	299	44
871	299	43
872	299	43
873	300	43
874	300	42
875	300	42
876	301	42
877	301	41
878	301	41
879	301	41
880	302	40
881	302	40
882	302	40
883	303	39
884	303	39
885	303	39
886	303	38
887	304	38
888	304	37
889	304	37
890	304	37
891	305	36
892	305	36
893	305	36
894	305	35
895	306	35
896	306	35
897	306	34
898	306	34
899	307	34
900	307	33
901	307	33
902	307	33
903	308	32
904	308	32
905	308	32
906	309	31
907	309	31
908	309	30
909	309	30
910	310	30
911	310	29
912	310	29
913	310	29
914	311	28
915	311	28
916	311	28
917	312	27
918	312	27
919	312	27
920	312	26
921	313	26
922	313	26
923	313	25
924	313	25
925	314	25
926	314	24
927	314	24
928	314	24
929	315	23
930	315	23
931	315	23
932	315	22
933	316	22
934	316	21
935	316	21
936	316	21
937	316	20
938	317	20
939	317	20
940	317	19
941	317	19
942	318	19
943	318	18
944	318	18
945	318	18
946	319	17
947	319	17
948	319	17
949	319	16
950	320	16
951	320	16
952	320	15
953	320	15
954	321	15
955	321	14
956	321	14
957	321	14
958	321	13
959	322	13
960	322	13
961	322	12
962	322	12
963	323	12
964	323	11
965	323	11
966	323	11
967	324	10
968	324	10
969	324	10
970	324	9
971	324	9
972	325	9
973	325	8
974	325	8
975	325	8
976	326	7
977	326	7
978	326	7
979	326	6
980	327	6
981	327	5
982	327	5
983	327	5
984	327	4
985	328	4
986	328	4
987	328	3
988	328	3
989	329	3
990	329	2
991	329	2
992	329	2
993	330	1
994	330	1
995	330	1
996	330	0
997	330	0
998	331	0
999	331	0
